# The WordSimilarity-353 Test Collection (http://www.cs.technion.ac.il/~gabr/resources/data/wordsim353/)
# Word 1	Word 2	Human (mean)
iye	iku	7.88
iye	saa	4.5
ọrọ	ibajọra	4.75
igbimọ alaṣe	aba	4.47
gomina	ifọrọwanilẹnuwo	3.25
OPEC	orilẹ-ede	5.63
alaafia	oju ọrun	3.69
alaafia	idojutofo	2.94
agbegbe	kilomita	5.28
irinajo	iṣe	5
idije	idiyele	6.44
onibaara	igboya	4.13
onibaara	agbara	4.75
iṣoro	papa ọkọ-ofurufu	2.38
ọkọ	ọkọ-ofurufu	4.94
kirẹdiiti	kaadi	8.06
kirẹdiiti	ifitonileti	5.31
otẹẹli	igbayesilẹ	8.03
ita-eelo	owo	5.94
iforukọsilẹ	eto	6
eto	ibugbe	5.41
oṣu	otẹẹli	1.81
oriisi	iru	8.97
dide	otẹẹli	6
ibusun	kọlọfin	6.72
kọlọfin	aṣọ	8
ipo	ipari	4.81
ipo	iyasọtọ	3.88
aisojusaaju	ifẹ	5.16
itọsọna	akojọpọ	2.25
opopona	ibi	6.44
opopona	ọna	8.88
opopona	ibusọ	6.88
opopona	ọmọ	4.94
gbigbọ	iṣumọtosi	2.56
gbigbọ	ẹka	6.38
sẹẹli	foonu	7.81
igbeṣẹ-jade	igbowolori	1.75
gbedeke	sẹẹli	4.25
ibanisọrọ	iṣowo	3.88
ibanisọrọ	jeere	2.88
ere	isanwo	7.63
ere	isiro	6.48
isiro	idiyele	8.44
kọrẹnsi	ọja	7.5
opec	eepo	8.59
eepo	akojọ-ọja	6.34
ikede	igbesẹjade	3.38
ikede	ikilọ	6
ere	ikilọ	3.88
ere	padanu	7.63
dọla	yẹẹni	7.78
dọla	dọla kan	9.22
dọla	ere	7.38
dọla	padanu	6.09
kọmputa	ajẹkọmputa o siṣẹ	8.5
itakun	ẹrọ	8.31
foonu	ohun-elo	7.13
ohun-elo	oluṣe	5.91
afẹ-aye	ọkọ	6.47
marun-un	osu	3.38
abọ	jeere	3.63
oludokoowo	iye to n wọle	7.13
olomi	omi	7.89
boolu-ọlọọpa	igba	5.97
ere-idaraya	iṣẹgun	7.03
ere-idaraya	ẹgbẹ	7.69
ere ọlọgbanrangandan	ẹmi	7.47
ere-idaraya	orisiirisii	6.19
ere-idaraya	padanu	6.97
meje	orisiirisii	3.56
ounjẹ-odo	okun	7.47
ounjẹ-odo	ounjẹ	8.34
ounjẹ-odo	akọ-ede	8.7
akọ-ede	ounjẹ	7.81
akọ-ede	oti-waini	5.7
ounjẹ	sise	6.22
fidio	ibi iselọjọ	6.34
ibẹrẹ	ọdun	4.06
ibẹrẹ	baramu	4.47
ere-idaraya	roboto	5.97
ẹṣẹ-kikan	roboto	7.61
idije	ifagagbaga	8.36
ija	igbajakulẹ	7.41
ila	idojutofo	2.69
ọjọ	ẹẹrun	3.94
ẹẹrun	ọgbẹlẹ	7.16
ẹẹrun	aye	5.63
ọjọ	afẹjumọ	7.53
aye	ayika	8.31
ayika	imọ nipa ayika	8.81
adamọ	ọkunrin	6.25
ọkunrin	obinrin	8.3
ọkunrin	gomina	5.25
ipaniyan	iṣekupani	8.53
ọṣẹ	ere	7.94
ere	iṣe	6.88
igbesi-aye	ẹkọ	5.94
afojusi	igbesi-aye	4.06
igbeṣẹjade	osiṣẹ	6.25
tẹlifiṣọn	fiimu	7.72
ololufẹ	aawọ	6.19
onworan	oju-opo	2.97
oṣeoṣe	ọmọbirin	1.94
iye-eniyan	idagbasoke	3.75
iwa ọmọluabi	pataki	3.31
iwa ọmọluabi	igbeyawo	3.69
mẹsiko	birasili	7.44
akọnbabo	idọgba	6.41
ayipada	iha kikọ si nnkan	5.44
idile	iṣeto	6.25
ere	ile-iṣẹ	2.63
suga	ọna	0.88
iṣe	igbekalẹ	3.19
ile-iṣẹ	aṣa	4.69
iṣoro	ipenija	6.75
iwọn	fojuhan	5.31
orilẹ-ede	ọmọ irilẹ-ede	7.31
aye	eniyan	5.75
idagbasoke	ọrọ	3.97
iriri	orin	3.47
orin	akanṣe iṣẹ	3.63
gilaasi	irin	5.56
baba	irin	7.83
aaye	iwulo	3.88
safihan	ohun-iranti	5.31
ere-orin	agba-oṣere	6.81
rọọki	jazz	7.59
ile-isẹmbaye	ere-ori-itage	7.19
akiyesi	aworan ilegbee	4.38
aye	agbaye	6.53
ifipamọ	agbaye	6.19
igbawọle	iwe aṣe igbaniwọle	7.69
ojo	aara	6.31
ojo	ẹkun ọmi	6.03
oju-ọjọ	asọtẹlẹ oju ọjọ	8.34
ajalu	agbegbe	6.25
gomina	ọfisi	6.34
aworan ilegbee	ọgbọrun-un ọdun	3.78
